Activity database;Activity code;Activity name;Activity unit;Activity type;Exchange database;Exchange input;Exchange amount;Exchange unit;Exchange type;Exchange uncertainty type;Exchange loc;Exchange scale;Exchange negative;Notes
exldb;Pre-treatment;Pre-treatment;kg;biosphere;biosphere3;8c8ffaa5-84ed-4668-ba7d-80fd0f47013f;4.77E-07;kg;biosphere;;;;;
exldb;Pre-treatment;Pre-treatment;kg;biosphere;biosphere3;f21b8022-f20d-4752-8cd6-728f56cf9c43;4.21E-07;kg;biosphere;;;;;
exldb;Electricity;Electricity;kWh;process;ecoinvent 3.9 conseq;206c622c567b1abfcfea904962336d32;1.00E+00;kWh;technosphere;;;;;
exldb;Steam;Steam;kg;process;ecoinvent 3.9 conseq;04bd55d4038fb6b106f281f15b38a864;1.00E+00;kg;technosphere;;;;;
exldb;Water;Water;kg;process;ecoinvent 3.9 conseq;5620eea9d0ee571e3db16f7d60f6ff8c;1.00E+00;kg;technosphere;;;;;
exldb;Enzyme;Enzyme;kg;process;ecoinvent 3.9 conseq;42c89031f17fb870fe74075906a8f290;1.00E+00;kg;technosphere;;;;;
exldb;MgCO2;MgCO3;kg;process;ecoinvent 3.9 conseq;7b7f4779e2ea6e5238c253bc18cf2f0f;1.00E+00;kg;technosphere;;;;;
exldb;NaOH;NaOH;kg;process;ecoinvent 3.9 conseq;09360a33570c4ddf0d04eac44e6e4d9c;1.00E+00;kg;technosphere;;;;;
exldb;CO2 capture;CO2 capture;kg;process;ecoinvent 3.9 conseq;8ea3a8d1fbd4e0654a4a88c18ec33264;1.00E+00;kg;technosphere;;;;;
exldb;Heating oil;Heating oil;kWh;process;ecoinvent 3.9 conseq;9914a9b79f91864ecf8c1681be876448;1.00E+00;kWh;technosphere;;;;;
exldb;HCL;HCL;kg;process;ecoinvent 3.9 conseq;8906fee72c7992ad3a7c242c54e1ab13;1.00E+00;kg;technosphere;;;;;
exldb;NaCl;NaCl;kg;process;ecoinvent 3.9 conseq;14489a2da0aa7b3c633c2b8f67e61e9d;1.00E+00;kg;technosphere;;;;;
